From	To	Species	Gene Name
mir431	574038	Homo sapiens	microRNA 431(MIR431)
mir552	693137	Homo sapiens	microRNA 552(MIR552)
mir432	574451	Homo sapiens	microRNA 432(MIR432)
mir675	100033819	Homo sapiens	microRNA 675(MIR675)
mir433	574034	Homo sapiens	microRNA 433(MIR433)
mir676	100500887	Homo sapiens	microRNA 676(MIR676)
mir671	768213	Homo sapiens	microRNA 671(MIR671)
mir199a2	406977	Homo sapiens	microRNA 199a-2(MIR199A2)
mir3613	100500908	Homo sapiens	microRNA 3613(MIR3613)
mir3610	100500914	Homo sapiens	microRNA 3610(MIR3610)
mir3614	100500827	Homo sapiens	microRNA 3614(MIR3614)
mir3615	100500847	Homo sapiens	microRNA 3615(MIR3615)
mir199a1	406976	Homo sapiens	microRNA 199a-1(MIR199A1)
mir3609	100500819	Homo sapiens	microRNA 3609(MIR3609)
mir429	554210	Homo sapiens	microRNA 429(MIR429)
mir545	664614	Homo sapiens	microRNA 545(MIR545)
mir424	494336	Homo sapiens	microRNA 424(MIR424)
mir425	494337	Homo sapiens	microRNA 425(MIR425)
mir541	100126308	Homo sapiens	microRNA 541(MIR541)
mir542	664617	Homo sapiens	microRNA 542(MIR542)
mir421	693122	Homo sapiens	microRNA 421(MIR421)
mir543	100126335	Homo sapiens	microRNA 543(MIR543)
mir423	494335	Homo sapiens	microRNA 423(MIR423)
mir665	100126315	Homo sapiens	microRNA 665(MIR665)
mir3620	100500810	Homo sapiens	microRNA 3620(MIR3620)
mir660	724030	Homo sapiens	microRNA 660(MIR660)
mir3619	100500828	Homo sapiens	microRNA 3619(MIR3619)
mir659	724029	Homo sapiens	microRNA 659(MIR659)
mir130a	406919	Homo sapiens	microRNA 130a(MIR130A)
mir539	664612	Homo sapiens	microRNA 539(MIR539)
mir130b	406920	Homo sapiens	microRNA 130b(MIR130B)
mir655	724025	Homo sapiens	microRNA 655(MIR655)
mir656	724026	Homo sapiens	microRNA 656(MIR656)
mir658	724028	Homo sapiens	microRNA 658(MIR658)
mir651	723779	Homo sapiens	microRNA 651(MIR651)
mir652	724022	Homo sapiens	microRNA 652(MIR652)
mir410	574434	Homo sapiens	microRNA 410(MIR410)
mir653	724023	Homo sapiens	microRNA 653(MIR653)
mir411	693121	Homo sapiens	microRNA 411(MIR411)
mir532	693124	Homo sapiens	microRNA 532(MIR532)
mir654	724024	Homo sapiens	microRNA 654(MIR654)
mir412	574433	Homo sapiens	microRNA 412(MIR412)
mir17	406952	Homo sapiens	microRNA 17(MIR17)
mir99b	407056	Homo sapiens	microRNA 99b(MIR99B)
mir99a	407055	Homo sapiens	microRNA 99a(MIR99A)
mir769	768217	Homo sapiens	microRNA 769(MIR769)
mir409	574413	Homo sapiens	microRNA 409(MIR409)
mir765	768220	Homo sapiens	microRNA 765(MIR765)
mir766	768218	Homo sapiens	microRNA 766(MIR766)
mir887	100126347	Homo sapiens	microRNA 887(MIR887)
mir525	574470	Homo sapiens	microRNA 525(MIR525)
mir767	768215	Homo sapiens	microRNA 767(MIR767)
mir889	100126345	Homo sapiens	microRNA 889(MIR889)
mir641	693226	Homo sapiens	microRNA 641(MIR641)
mir522	574495	Homo sapiens	microRNA 522(MIR522)
mir885	100126334	Homo sapiens	microRNA 885(MIR885)
mir643	693228	Homo sapiens	microRNA 643(MIR643)
mir760	100126348	Homo sapiens	microRNA 760(MIR760)
mir1224	100187716	Homo sapiens	microRNA 1224(MIR1224)
mir1226	100302232	Homo sapiens	microRNA 1226(MIR1226)
mir1468	100302115	Homo sapiens	microRNA 1468(MIR1468)
mir1228	100302201	Homo sapiens	microRNA 1228(MIR1228)
mir1229	100302156	Homo sapiens	microRNA 1229(MIR1229)
mir374a	442919	Homo sapiens	microRNA 374a(MIR374A)
mir758	768212	Homo sapiens	microRNA 758(MIR758)
mir374b	100126317	Homo sapiens	microRNA 374b(MIR374B)
mir639	693224	Homo sapiens	microRNA 639(MIR639)
mir374c	100500807	Homo sapiens	microRNA 374c(MIR374C)
mir877	100126314	Homo sapiens	microRNA 877(MIR877)
mir636	693221	Homo sapiens	microRNA 636(MIR636)
mir874	100126343	Homo sapiens	microRNA 874(MIR874)
mir632	693217	Homo sapiens	microRNA 632(MIR632)
mir32	407036	Homo sapiens	microRNA 32(MIR32)
mir31	407035	Homo sapiens	microRNA 31(MIR31)
mir3934	100500873	Homo sapiens	microRNA 3934(MIR3934)
mir3928	100500901	Homo sapiens	microRNA 3928(MIR3928)
mir505	574508	Homo sapiens	microRNA 505(MIR505)
mir627	693212	Homo sapiens	microRNA 627(MIR627)
mir628	693213	Homo sapiens	microRNA 628(MIR628)
mir508	574513	Homo sapiens	microRNA 508(MIR508)
mir629	693214	Homo sapiens	microRNA 629(MIR629)
mir501	574503	Homo sapiens	microRNA 501(MIR501)
mir502	574504	Homo sapiens	microRNA 502(MIR502)
mir744	100126313	Homo sapiens	microRNA 744(MIR744)
mir503	574506	Homo sapiens	microRNA 503(MIR503)
mir624	693209	Homo sapiens	microRNA 624(MIR624)
mir504	574507	Homo sapiens	microRNA 504(MIR504)
mir625	693210	Homo sapiens	microRNA 625(MIR625)
mir21	406991	Homo sapiens	microRNA 21(MIR21)
mir22	407004	Homo sapiens	microRNA 22(MIR22)
mir3942	100500904	Homo sapiens	microRNA 3942(MIR3942)
mir25	407014	Homo sapiens	microRNA 25(MIR25)
mir3940	100500888	Homo sapiens	microRNA 3940(MIR3940)
mir3941	100500866	Homo sapiens	microRNA 3941(MIR3941)
mir28	407020	Homo sapiens	microRNA 28(MIR28)
mir3944	100500911	Homo sapiens	microRNA 3944(MIR3944)
mir30c2	407032	Homo sapiens	microRNA 30c-2(MIR30C2)
mir30c1	407031	Homo sapiens	microRNA 30c-1(MIR30C1)
mir615	693200	Homo sapiens	microRNA 615(MIR615)
mir616	693201	Homo sapiens	microRNA 616(MIR616)
mir618	693203	Homo sapiens	microRNA 618(MIR618)
mir181b1	406955	Homo sapiens	microRNA 181b-1(MIR181B1)
mir181b2	406956	Homo sapiens	microRNA 181b-2(MIR181B2)
mir1538	100302119	Homo sapiens	microRNA 1538(MIR1538)
mir1537	100302139	Homo sapiens	microRNA 1537(MIR1537)
mirlet7a3	406883	Homo sapiens	microRNA let-7a-3(MIRLET7A3)
mirlet7a2	406882	Homo sapiens	microRNA let-7a-2(MIRLET7A2)
mir199b	406978	Homo sapiens	microRNA 199b(MIR199B)
mir605	693190	Homo sapiens	microRNA 605(MIR605)
mir607	693192	Homo sapiens	microRNA 607(MIR607)
mir181a2	406954	Homo sapiens	microRNA 181a-2(MIR181A2)
mir181a1	406995	Homo sapiens	microRNA 181a-1(MIR181A1)
mir1301	100302246	Homo sapiens	microRNA 1301(MIR1301)
mir3605	100500853	Homo sapiens	microRNA 3605(MIR3605)
mir1304	100302240	Homo sapiens	microRNA 1304(MIR1304)
mir1307	100302174	Homo sapiens	microRNA 1307(MIR1307)
mir1306	100302197	Homo sapiens	microRNA 1306(MIR1306)
mir181d	574457	Homo sapiens	microRNA 181d(MIR181D)
mir518c	574477	Homo sapiens	microRNA 518c(MIR518C)
mir518b	574474	Homo sapiens	microRNA 518b(MIR518B)
mir708	100126333	Homo sapiens	microRNA 708(MIR708)
mir193b	574455	Homo sapiens	microRNA 193b(MIR193B)
mir193a	406968	Homo sapiens	microRNA 193a(MIR193A)
mir942	100126331	Homo sapiens	microRNA 942(MIR942)
mir181c	406957	Homo sapiens	microRNA 181c(MIR181C)
mir944	100126340	Homo sapiens	microRNA 944(MIR944)
mir940	100126328	Homo sapiens	microRNA 940(MIR940)
mir92b	693235	Homo sapiens	microRNA 92b(MIR92B)
mir518f	574472	Homo sapiens	microRNA 518f(MIR518F)
mir939	100126351	Homo sapiens	microRNA 939(MIR939)
mir934	100126324	Homo sapiens	microRNA 934(MIR934)
mir935	100126325	Homo sapiens	microRNA 935(MIR935)
mir937	100126338	Homo sapiens	microRNA 937(MIR937)
mir93	407050	Homo sapiens	microRNA 93(MIR93)
mir96	407053	Homo sapiens	microRNA 96(MIR96)
mir95	407052	Homo sapiens	microRNA 95(MIR95)
mir98	407054	Homo sapiens	microRNA 98(MIR98)
mirlet7f1	406888	Homo sapiens	microRNA let-7f-1(MIRLET7F1)
mir1255a	100302193	Homo sapiens	microRNA 1255a(MIR1255A)
mirlet7f2	406889	Homo sapiens	microRNA let-7f-2(MIRLET7F2)
mir1976	100302190	Homo sapiens	microRNA 1976(MIR1976)
mir3912	100500831	Homo sapiens	microRNA 3912(MIR3912)
mir3909	100500826	Homo sapiens	microRNA 3909(MIR3909)
mir5093	100847022	Homo sapiens	microRNA 5093(MIR5093)
mir5092	100847039	Homo sapiens	microRNA 5092(MIR5092)
mir5091	100847023	Homo sapiens	microRNA 5091(MIR5091)
mir3922	100500843	Homo sapiens	microRNA 3922(MIR3922)
mir3917	100500808	Homo sapiens	microRNA 3917(MIR3917)
mir196b	442920	Homo sapiens	microRNA 196b(MIR196B)
mir526b	574468	Homo sapiens	microRNA 526b(MIR526B)
mir1910	100302261	Homo sapiens	microRNA 1910(MIR1910)
mir125b1	406911	Homo sapiens	microRNA 125b-1(MIR125B1)
mir125b2	406912	Homo sapiens	microRNA 125b-2(MIR125B2)
mir190b	100126346	Homo sapiens	microRNA 190b(MIR190B)
mir550a1	693133	Homo sapiens	microRNA 550a-1(MIR550A1)
mir550a2	693134	Homo sapiens	microRNA 550a-2(MIR550A2)
mir135a1	406925	Homo sapiens	microRNA 135a-1(MIR135A1)
mir135a2	406926	Homo sapiens	microRNA 135a-2(MIR135A2)
mir320b2	100313769	Homo sapiens	microRNA 320b-2(MIR320B2)
mir517b	574483	Homo sapiens	microRNA 517b(MIR517B)
mir517a	574479	Homo sapiens	microRNA 517a(MIR517A)
mir3176	100423037	Homo sapiens	microRNA 3176(MIR3176)
mir3173	100422981	Homo sapiens	microRNA 3173(MIR3173)
mir3174	100422841	Homo sapiens	microRNA 3174(MIR3174)
mir3178	100422974	Homo sapiens	microRNA 3178(MIR3178)
mir449a	554213	Homo sapiens	microRNA 449a(MIR449A)
mir449b	693123	Homo sapiens	microRNA 449b(MIR449B)
mir642a	693227	Homo sapiens	microRNA 642a(MIR642A)
mir3170	100422881	Homo sapiens	microRNA 3170(MIR3170)
mir3065	100422915	Homo sapiens	microRNA 3065(MIR3065)
mir3187	100422854	Homo sapiens	microRNA 3187(MIR3187)
mir3188	100422833	Homo sapiens	microRNA 3188(MIR3188)
mir4286	100422982	Homo sapiens	microRNA 4286(MIR4286)
mir3074	100422842	Homo sapiens	microRNA 3074(MIR3074)
mir548b	693128	Homo sapiens	microRNA 548b(MIR548B)
mir3190	100422899	Homo sapiens	microRNA 3190(MIR3190)
mir3193	100422904	Homo sapiens	microRNA 3193(MIR3193)
mir3194	100422889	Homo sapiens	microRNA 3194(MIR3194)
mir3191	100422832	Homo sapiens	microRNA 3191(MIR3191)
mir19a	406979	Homo sapiens	microRNA 19a(MIR19A)
mir548v	100422850	Homo sapiens	microRNA 548v(MIR548V)
mir548t	100422849	Homo sapiens	microRNA 548t(MIR548T)
mir548s	100422862	Homo sapiens	microRNA 548s(MIR548S)
mir500b	100422911	Homo sapiens	microRNA 500b(MIR500B)
mir500a	574502	Homo sapiens	microRNA 500a(MIR500A)
mir548e	100313921	Homo sapiens	microRNA 548e(MIR548E)
mir548j	100313914	Homo sapiens	microRNA 548j(MIR548J)
mir3622a	100500858	Homo sapiens	microRNA 3622a(MIR3622A)
mir18a	406953	Homo sapiens	microRNA 18a(MIR18A)
mir18b	574033	Homo sapiens	microRNA 18b(MIR18B)
mir548k	100313770	Homo sapiens	microRNA 548k(MIR548K)
mir548q	100313841	Homo sapiens	microRNA 548q(MIR548Q)
mir548o	100313829	Homo sapiens	microRNA 548o(MIR548O)
mir3136	100422859	Homo sapiens	microRNA 3136(MIR3136)
mir197	406974	Homo sapiens	microRNA 197(MIR197)
mir192	406967	Homo sapiens	microRNA 192(MIR192)
mir195	406971	Homo sapiens	microRNA 195(MIR195)
mir191	406966	Homo sapiens	microRNA 191(MIR191)
